,name,food_interactions,drug_index,cleaned_text,interaction,interaction_count
2980,Drospirenone,"[""Avoid St. John's Wort."", 'Take at the same time every day.', 'Take with or without food.']",735,"""Avoid St John's Wort."", 'Take at the same time every day.', 'Take with or without food.'",""", 'Take at the same time every day",0
2981,Drospirenone,"[""Avoid St. John's Wort."", 'Take at the same time every day.', 'Take with or without food.']",735,"""Avoid St John's Wort."", 'Take at the same time every day.', 'Take with or without food.'","', 'Take with or without food",0
2983,Digitoxin,"['Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin.', 'Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.']",736,"'Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin.', 'Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.'",'Avoid avocado,0
2984,Digitoxin,"['Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin.', 'Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.']",736,"'Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin.', 'Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.'","Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin",0
2985,Digitoxin,"['Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin.', 'Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.']",736,"'Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin.', 'Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.'","', 'Do not take with bran and high fiber foods",0
2986,Digitoxin,"['Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin.', 'Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.']",736,"'Avoid avocado. Persea americana (avocado) is a plant that affects the heart by interfering with the Na+, K+, ATPase, which may cause an additive effect with digitoxin.', 'Do not take with bran and high fiber foods. The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food.'",The absorption of digitoxin is more predictable than the absorption of digoxin in the presence of high-fiber food,0
2988,Salsalate,"['Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.', 'Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.']",737,"'Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.', 'Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.'",'Avoid excessive or chronic alcohol consumption,0
2989,Salsalate,"['Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.', 'Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.']",737,"'Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.', 'Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.'",Ingesting alcohol may increase the risk of developing a gastrointestinal bleed,0
2990,Salsalate,"['Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.', 'Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.']",737,"'Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.', 'Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.'","', 'Take with or without food",0
2991,Salsalate,"['Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.', 'Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.']",737,"'Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.', 'Take with or without food. Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC.'",Taking salsalate with food may slow the absorption of salsalate but does not significantly impact the Cmax or AUC,0
2993,Methotrimeprazine,['Take with food. Food reduces irritation.'],738,'Take with food. Food reduces irritation.','Take with food,0
2994,Methotrimeprazine,['Take with food. Food reduces irritation.'],738,'Take with food. Food reduces irritation.',Food reduces irritation,0
2996,Danazol,['Take with or without food. The absorption is unaffected by food.'],739,'Take with or without food. The absorption is unaffected by food.','Take with or without food,0
2997,Danazol,['Take with or without food. The absorption is unaffected by food.'],739,'Take with or without food. The absorption is unaffected by food.',The absorption is unaffected by food,0
2999,Tiotropium,['Take with or without food. Food is not expected to interfere with absorption.'],740,'Take with or without food. Food is not expected to interfere with absorption.','Take with or without food,0
3000,Tiotropium,['Take with or without food. Food is not expected to interfere with absorption.'],740,'Take with or without food. Food is not expected to interfere with absorption.',Food is not expected to interfere with absorption,0
3002,Ceftibuten,"['Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating.', 'Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.']",741,"'Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating.', 'Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.'",'Take separate from meals,0
3003,Ceftibuten,"['Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating.', 'Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.']",741,"'Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating.', 'Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.'","Take ceftibuten oral suspension at least one hour after eating, or two hours before eating",0
3004,Ceftibuten,"['Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating.', 'Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.']",741,"'Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating.', 'Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.'","', 'Take with or without food",0
3005,Ceftibuten,"['Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating.', 'Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.']",741,"'Take separate from meals. Take ceftibuten oral suspension at least one hour after eating, or two hours before eating.', 'Take with or without food. Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant.'",Separating the administration of ceftibuten from food is not required for ceftibuten capsules because the impact of food on bioavailability is less significant,0
